name category
胆红素钙结石 belly
术后急性精神障碍 head
隋静 others
背心冷 thoracodorsal
顽固性疼痛 others
腹肌强直 belly
牙齿臭 head
脑死亡 head
间歇性寒颤 others
玫瑰疹 others
逼尿肌反射亢进 belly
男性不育 belly
梦幻觉 head
病理性黄疸 others
腹内压升高 belly
阴囊水肿 belly
脓痱 others
尿中持续性排钠 belly
神经性尿频 belly
咳嗽 head
慢性腹痛 belly
心音及脉搏消失 head
动脉盗血 thoracodorsal
肾内动脉变细或阻塞 belly
凝血障碍 others
学习困难 others
眼内有异物感 head
上肢水肿 limb
灰白色结节 others
Q-T间期延长 thoracodorsal
巨胃窦症 belly
骨皮质变薄 others
口淡无味 head
低颅压综合征 head
无睾丸 belly
胎动改变 belly
衰老加快 others
血压为零 others
胃肠粘膜的通透性增高 belly
肌肉挫伤 others
低蛋白血症 others
手指麻痛 limb
胃窦动力低下 belly
脸色发黄 head
脸部疼痛 head
肢体发凉 limb
颅底畸形 head
颈部不稳感 head
肌纤维大小不等 others
牙周袋形成 head
大三阳 belly
鼠尾征 thoracodorsal
精神运动性活动变坏 head
食管痉挛 thoracodorsal
假菊形团结构 head
月经骤停 belly
垂体性闭经 belly
眶静脉回流障碍 limb
粘性渗出性薄膜 others
输尿管梗阻 belly
便稀时经阴道排出 belly
乳房或乳头未发育 thoracodorsal
眼球内斜 head
静脉石 belly
下腹绞痛 belly
肝功检查胆红素... belly
眼白发红 head
溃疡穿孔或出血 belly
燥狂相 head
囟门闭合晚 head
睡觉时小腿抽筋 limb
上腔静脉回流受阻 thoracodorsal
女阴会阴出现红... belly
溶酶体酶缺陷 others
吞咽时发生晕厥 head
发热伴有皮疹 others
喉部痉挛 head
铅管样强直 head
浅昏迷 head
进食异常 thoracodorsal
眼眶疼痛 head
精液稠 belly
情志内伤 head
气血不通 others
脑转移 head
耳痒 head
小儿干咳 head
创伤性宫腔粘连 belly
拇指和食指不能... limb
判断力和定向力障碍 head
视网膜动脉阻塞 head
痛性溃疡和渗出... belly
言语中断 head
鼻出血 head
额部白斑 head
食管下段静脉曲张 thoracodorsal
肌肉撞伤 others
椎节后缘有骨刺形成 thoracodorsal
喉头痉挛 head
逯长平 head
牙龈深红或暗红色 head
动脉出血 others
咽部肌肉运动障碍 head
盖迎男 others
营养代谢缺乏 others
肌肉紧张性疼痛 others
面部斑点 head
感染性发热 others
眼白蓝灰色或黑色斑点 head
假性前房积脓 thoracodorsal
气管移位 thoracodorsal
肝缩小 belly
有排卵性功血 belly
胸廓塌陷畸形 thoracodorsal
指纹皱瘪 limb
手握物无力 limb
