name category category2
椎体爆裂骨折	others
苍耳中毒	others	
桡骨骨折	others	跌倒
慢性脓胸	respiratory_system	
高渗性脱水	cancer	
双分支阻滞	cardiovascular_cerebrovascular	
营养缺乏性神经病变	metabolic_system	
食管梅毒	others	
流行性感冒	respiratory_system	
迷路窗破裂	others	
心瘅	cardiovascular_cerebrovascular	
炭疽病	others	
胎膜早破	others	
伸指肌腱损伤	others	
斜颈	others	
巨细胞动脉炎和风湿性多肌痛	others	
脏躁	mental_disorder	
小儿骨与关节结核	others	
睾丸肿瘤	cancer	
血栓性血小板减少性紫癜	others	
原发性硬化性胆管炎	others	
非典型纤维黄色瘤	cancer	
小儿脊髓前动脉综合征	others	
食管过短	others	
肩关节周围炎	others	
羰基镍中毒	others	
隐睾	others	
蓝痣	others	
房性期前收缩	others	
疱疹样皮炎	cardiovascular_cerebrovascular	
肾性糖尿	metabolic_system	糖尿病
二水焦磷酸钙结晶沉积症	metabolic_system	
乙脑伴发的精神障碍	mental_disorder	
甲亢	metabolic_system	
前列腺脓肿	others	
槭糖尿病	metabolic_system	
视神经乳头水肿及视盘水肿	others	
毛囊脓疱病	others	
白细胞葡萄糖-6-磷酸脱氢酶缺乏症	metabolic_system	
视网膜后膜	others	
小儿心房扑动	cardiovascular_cerebrovascular	
药物过敏性口炎	others	
小儿狂犬病	others	
创伤性窒息	others	
上皮样囊肿	others	
肾上腺囊肿	others	
甲型H1N1流感	respiratory_system	
慢性胰腺炎	others	
变异性红斑角化病	others	
原发性卵巢类癌综合征	others	
寻常狼疮	metabolic_system	
小细胞低色素性贫血	others	
暴泻	others	
心脏损伤	cardiovascular_cerebrovascular	
乳头状腺瘤	cancer	
甲状腺结核	others	
小儿IgA肾病	others	
Marie-Bamberger综合征	respiratory_system	
支气管扩张	respiratory_system	
管状小汗腺癌	cancer	
阴道恶性苗勒管混合瘤	cancer	
藏毛囊肿	others	
脑型肺吸虫病	others	
乳腺囊性增生症	others	
视神经撕脱	others	
室间隔膜部瘤	cardiovascular_cerebrovascular	
内分泌性肌病	metabolic_system	
尿瘘	others	
先天性短食管	others	
踝关节骨折	others	
非典	respiratory_system	
真菌性脑膜炎	others	
小儿马方综合征	others	
髌腱断裂	others	
甲状旁腺功能亢进	others	
神经源性角膜炎	others	
脑瘤	cancer	
系统性红斑狼疮性巩膜炎	others	
返流性胆管炎	others	
慢性阿米巴性痢疾	others	
幼儿急疹	others	
腘血管陷迫综合征	others	
梅毒性葡萄膜炎	others	
前庭神经炎	others	
α1-抗胰蛋白酶缺乏症	others	
肌疝	others	
卵巢硬化性间质瘤	cancer	
感染性腹主动脉瘤	cardiovascular_cerebrovascular	
胆道肿瘤	cancer	
颈椎先天融合畸形	others	
心绞痛	cardiovascular_cerebrovascular	冠心病
肩峰骨折	others	
淋巴瘤	cancer	
结核性脊髓炎	others	
分流性高胆红素血症综合征	others	
呼吸道结核病	respiratory_system	
眼弓蛔虫病	others	
咽部神经鞘膜瘤	cancer	神经系统肿瘤
黏液性小汗腺癌	cancer	
小儿醛固酮过多症	metabolic_system	
混睛帐	others	
乳糜腹	others	
继发于无晶状体眼和人工晶状体眼的青光眼	others	
肺泡-毛细血管阻滞综合征	respiratory_system	
肝血管肉瘤	cancer	肝癌
新生儿低钠血症	metabolic_system	
