source target
0 563
0 611
0 650
0 660
0 679
0 732
0 765
0 777
0 812
1 597
1 611
1 686
1 712
1 735
1 740
1 765
1 775
1 790
1 816
2 525
2 529
2 553
2 554
2 615
2 667
2 679
2 817
2 837
3 534
3 536
3 600
3 626
3 765
3 795
3 817
3 830
3 863
4 577
4 608
4 677
4 679
4 722
4 796
4 823
4 854
4 856
5 534
5 566
5 600
5 624
5 694
5 734
5 759
5 765
5 863
6 574
6 650
6 660
6 670
6 674
6 707
6 817
6 838
6 857
7 562
7 574
7 650
7 688
7 765
7 838
7 846
7 857
7 864
8 574
8 626
8 679
8 685
8 706
8 775
8 790
8 810
8 816
8 817
9 616
9 632
9 650
9 674
9 679
9 707
9 759
9 781
9 790
9 841
10 584
10 594
10 600
10 650
10 685
10 716
10 775
10 802
10 817
11 600
11 644
11 685
11 759
11 770
11 775
11 777
11 790
11 817
12 599
12 604
12 647
12 650
12 679
12 734
12 765
12 767
12 815
12 828
13 543
13 563
13 612
13 652
13 709
13 737
13 747
13 832
13 839
14 554
14 563
14 595
14 628
14 650
14 748
14 764
14 846
14 871
15 521
15 597
15 602
15 611
15 626
15 679
15 685
15 775
15 790
16 563
16 707
16 721
16 722
16 735
16 765
16 806
16 857
16 864
17 522
17 599
17 613
17 677
17 687
17 696
17 703
17 751
17 820
18 524
18 563
18 608
18 610
18 612
18 679
18 685
18 748
18 805
19 535
19 542
19 549
19 563
19 612
19 652
19 710
19 752
19 791
20 563
20 596
20 679
20 737
20 747
20 757
20 790
20 795
20 839
21 554
21 563
21 566
21 600
21 601
21 612
21 732
21 734
21 857
21 872
22 534
22 563
22 579
22 628
22 648
22 702
22 739
22 786
22 810
23 601
23 612
23 626
23 642
23 764
23 801
23 805
23 826
23 857
24 533
24 563
24 611
24 655
24 679
24 737
24 765
24 816
24 834
25 562
25 563
25 679
25 681
25 737
25 744
25 754
25 832
25 834
25 857
26 529
26 568
26 570
26 664
26 685
26 714
26 735
26 751
26 806
26 854
27 594
27 595
27 601
27 626
27 653
27 679
27 733
27 789
27 870
28 574
28 597
28 679
28 707
28 732
28 775
28 780
28 790
28 837
28 855
29 627
29 629
29 690
29 722
29 732
29 737
29 758
29 765
29 801
29 816
30 579
30 605
30 611
30 654
30 695
30 699
30 765
30 786
30 851
31 523
31 555
31 682
31 685
31 758
31 765
31 784
31 854
31 859
32 553
32 643
32 656
32 666
32 679
32 722
32 758
32 765
32 832
33 545
33 579
33 586
33 599
33 637
33 678
33 701
33 703
33 815
34 563
34 567
34 650
34 655
34 685
34 707
34 765
34 801
34 816
35 536
35 575
35 600
35 628
35 694
35 716
35 781
35 814
35 835
36 602
36 611
36 626
36 655
36 695
36 731
36 753
36 765
36 812
36 816
37 538
37 554
37 574
37 696
37 780
37 802
37 808
37 817
37 866
38 519
38 532
38 562
38 612
38 679
38 723
38 748
38 802
38 858
39 524
39 597
39 611
39 632
39 673
39 679
39 685
39 712
39 780
40 611
40 612
40 620
40 650
40 679
40 695
40 758
40 843
40 863
41 545
41 570
41 631
41 655
41 732
41 735
41 765
41 775
41 816
42 556
42 562
42 563
42 583
42 596
42 601
42 650
42 722
42 739
42 765
42 857
43 553
43 627
43 629
43 643
43 666
43 679
43 722
43 758
43 832
44 577
44 606
44 608
44 679
44 700
44 775
44 777
44 782
44 868
45 554
45 650
45 660
45 670
45 688
45 732
45 764
45 816
45 817
46 563
46 584
46 639
46 650
46 683
46 721
46 739
46 794
46 857
47 567
47 585
47 605
47 679
47 696
47 716
47 816
47 857
47 867
48 543
48 600
48 623
48 652
48 669
48 678
48 734
48 766
48 841
48 851
49 563
49 599
49 605
49 650
49 703
49 707
49 764
49 801
49 816
50 540
50 609
50 620
50 632
50 638
50 677
50 685
50 735
50 758
50 843
51 563
51 596
51 602
51 650
51 656
51 698
51 745
51 775
51 825
52 597
52 600
52 670
52 693
52 700
52 707
52 728
52 817
52 833
53 563
53 601
53 650
53 704
53 765
53 789
53 795
53 834
53 862
54 577
54 584
54 596
54 713
54 724
54 744
54 757
54 765
54 839
54 842
55 656
55 660
55 673
55 707
55 732
55 769
55 777
55 790
55 812
56 571
56 597
56 624
56 632
56 667
56 701
56 728
56 780
56 833
57 543
57 563
57 593
57 604
57 606
57 691
57 724
57 775
57 785
58 547
58 553
58 562
58 574
58 603
58 695
58 737
58 786
58 817
58 841
59 562
59 612
59 645
59 650
59 679
59 748
59 799
59 805
59 857
60 563
60 650
60 688
60 723
60 748
60 765
60 767
60 828
60 846
61 543
61 597
61 616
61 658
61 679
61 755
61 774
61 790
61 805
62 600
62 669
62 678
62 721
62 734
62 761
62 766
62 824
62 851
63 563
63 574
63 600
63 639
63 650
63 660
63 708
63 740
63 817
64 535
64 549
64 612
64 626
64 652
64 679
64 710
64 732
64 791
65 562
65 563
65 570
65 650
65 679
65 685
65 744
65 765
65 864
66 531
66 546
66 556
66 601
66 711
66 795
66 799
66 821
66 857
67 574
67 612
67 682
67 685
67 707
67 740
67 790
67 816
67 817
68 569
68 597
68 616
68 632
68 667
68 712
68 755
68 780
68 841
69 529
69 562
69 591
69 597
69 679
69 707
69 817
69 832
69 837
70 545
70 553
70 620
70 626
70 629
70 652
70 690
70 722
70 732
70 758
70 812
71 561
71 580
71 596
71 606
71 691
71 708
71 722
71 785
71 832
71 868
72 546
72 563
72 571
72 650
72 740
72 765
72 775
72 834
72 846
72 864
73 574
73 640
73 662
73 682
73 765
73 785
73 819
73 839
73 858
73 868
74 620
74 663
74 679
74 735
74 753
74 758
74 765
74 788
74 848
75 531
75 584
75 608
75 628
75 650
75 696
75 733
75 816
75 817
76 522
76 539
76 599
76 605
76 647
76 726
76 765
76 811
76 816
76 849
77 574
77 607
77 644
77 660
77 696
77 707
77 740
77 780
77 857
78 523
78 614
78 620
78 682
78 722
78 735
78 758
78 774
78 795
79 563
79 644
79 650
79 652
79 661
79 701
79 810
79 826
79 850
80 574
80 600
80 633
80 676
80 702
80 706
80 712
80 790
80 817
80 844
81 524
81 563
81 574
81 582
81 650
81 725
81 765
81 817
81 828
81 857
82 545
82 563
82 572
82 578
82 611
82 679
82 795
82 834
82 857
83 566
83 600
83 611
83 692
83 735
83 737
83 759
83 765
83 838
83 871
84 522
84 602
84 611
84 707
84 718
84 765
84 777
84 812
84 816
84 817
85 518
85 574
85 636
85 663
85 775
85 816
85 824
85 857
85 864
86 649
86 708
86 732
86 786
86 815
86 816
86 817
86 851
86 857
87 524
87 591
87 597
